ObjectID,Route ID,Agency ID,Route Short Name,Route Color,Route Type Text,Route Long Name,Route Type,Route Text Color,Shape__Length
2401,3944,01,,,,,3,,31175.7795828178
2402,3944,01,,,,,3,,78977.2050306074
2403,3944,01,,,,,3,,78977.2050306074
2404,3944,01,,,,,3,,75341.5921825225
2405,3944,01,,,,,3,,46310.8696928161
2406,3944,01,,,,,3,,75341.5921825225
2407,3945,01,,,,,3,,77587.1214641328
2408,3945,01,,,,,3,,73762.26036457
2409,3946,01,,,,,3,,41675.1071290564
2410,3946,01,,,,,3,,41675.1071290564
2411,3946,01,,,,,3,,56483.1887374703
2412,3946,01,,,,,3,,41675.1071290564
2413,3946,01,,,,,3,,45371.4379013887
2414,3946,01,,,,,3,,45371.4379013887
2415,3946,01,,,,,3,,50527.2001551732
2416,3946,01,,,,,3,,45371.4379013887
2417,3947,01,,,,,3,,34199.0044819857
2418,3947,01,,,,,3,,30393.9435610278
2419,3948,01,,,,,3,,60961.2237662845
2420,3948,01,,,,,3,,63810.316831919
2421,3949,01,,,,,3,,87935.0707764895
2422,3949,01,,,,,3,,73861.8789480416
2423,3949,01,,,,,3,,41600.5421390279
2424,3949,01,,,,,3,,46334.5286374616
2425,3949,01,,,,,3,,32073.2382731781
2426,3949,01,,,,,3,,52805.0341431056
2427,3949,01,,,,,3,,84250.3616345273
2428,3949,01,,,,,3,,39874.877701131
2429,3949,01,,,,,3,,31445.3274914218
2430,3950,01,,,,,3,,41020.947224447
2431,3950,01,,,,,3,,92013.9788496595
2432,3950,01,,,,,3,,50849.6661542794
2433,3950,01,,,,,3,,51326.6379969754
2434,3950,01,,,,,3,,38680.1818562095
2435,3950,01,,,,,3,,90150.2317140725
2436,3951,01,,,,,3,,15811.0058726926
2437,3951,01,,,,,3,,72878.6873800245
2438,3951,01,,,,,3,,24849.6033675033
2439,3951,01,,,,,3,,24849.6033675033
2440,3951,01,,,,,3,,64295.110793449
2441,3951,01,,,,,3,,43524.1559496969
2442,3951,01,,,,,3,,20830.3690047026
2443,3951,01,,,,,3,,41601.3238484546
2444,3951,01,,,,,3,,20830.3690047026
2445,3952,01,,,,,3,,21683.5678156908
2446,3952,01,,,,,3,,67357.3871796943
2447,3952,01,,,,,3,,21683.5678156908
2448,3952,01,,,,,3,,21683.5678156908
2449,3952,01,,,,,3,,24354.1704008857
2450,3952,01,,,,,3,,65995.4452741943
2451,3952,01,,,,,3,,44574.2615936997
2452,3952,01,,,,,3,,24354.1704008857
2453,3953,01,,,,,3,,32775.703829953
2454,3953,01,,,,,3,,31637.4456607523
2455,3954,01,,,,,3,,88331.4690818459
2456,3954,01,,,,,3,,31503.4417299314
2457,3954,01,,,,,3,,59621.1687387761
2458,3954,01,,,,,3,,95037.6160510925
2459,3955,01,,,,,3,,58753.0958442571
2460,3955,01,,,,,3,,58231.3988615005
2461,3956,01,,,,,3,,97784.0138884228
2462,3956,01,,,,,3,,41448.0079246692
2463,3956,01,,,,,3,,41448.0079246692
2464,3956,01,,,,,3,,98934.9618455004
2465,3956,01,,,,,3,,42771.5682335573
2466,3956,01,,,,,3,,76300.3255482664
2467,3956,01,,,,,3,,42771.5682335573
2468,3957,01,,,,,3,,44132.3828798548
2469,3957,01,,,,,3,,44143.1368755911
2470,3958,01,,,,,3,,88933.6189572947
2471,3958,01,,,,,3,,28191.9288889848
2472,3958,01,,,,,3,,20695.7383654107
2473,3958,01,,,,,3,,91134.8339296953
2474,3958,01,,,,,3,,58093.0615021148
2475,3959,01,,,,,3,,78851.8900972691
2476,3959,01,,,,,3,,81628.9655332608
2477,3960,01,,,,,3,,16889.014738979
2478,3960,01,,,,,3,,18660.7423601064
2479,3961,01,,,,,3,,24568.2775681336
2480,3961,01,,,,,3,,31120.4238410479
