ObjectID,Stop ID,Stop Code,Stop Name,Stop Description,Stop Latitiude,Stop Longtitude,Wheelchair Boarding,x,y
16768,5,5,NE BRAWLEY - SHIELDS,N BRAWLEY AVE & W FOUNTAIN WAY,36.779591,-119.862246,,6309159.0583708,2168054.57283248
16769,6,6,SE SHAW - BRAWLEY,W SHAW AVE & N BRAWLEY AVE,36.808145,-119.862218,,6309260.58507064,2178449.63373522
16770,7,7,SW SHAW - WEST,W SHAW AVE & N WEST AVE,36.80825,-119.826818,,6319623.81565647,2178396.73161006
16771,8,8,SE SHAW - BLACKSTONE,E SHAW AVE & N BLACKSTONE AVE,36.808498,-119.790072,,6330381.50444289,2178396.4652064
16772,9,9,SE SHAW - FIRST,E SHAW AVE & N FIRST ST,36.808537,-119.771948,,6335687.19527505,2178367.51677348
16773,10,10,SHAW - CEDAR,E SHAW AVE & N CEDAR AVE,36.808565,-119.753608,,6341056.08873673,2178335.06867564
16774,11,11,SW WILLOW - SHAW, ,36.807989,-119.727404,,6348725.4162458,2178066.22472514
16775,13,13,NW SHAW - CEDAR,E SHAW AVE & N CEDAR AVE,36.808653,-119.755124,,6340612.54992564,2178370.59157048
16776,14,14,NW SHAW - FIRST,E SHAW AVE & E FRONTAGE RD N,36.80859,-119.772728,,6335459.01495713,2178388.64796481
16777,15,15,NW SHAW - BLACKSTONE,W SHAW AVE & N BLACKSTONE AVE,36.808541,-119.790909,,6330136.61221613,2178414.13643089
16778,16,16,NW SHAW - WEST,W SHAW AVE & N WEST AVE,36.808303,-119.826841,,6319617.24874046,2178416.08458972
16779,17,17,NW SHAW - BRAWLEY,W SHAW AVE & N SONORA LN,36.80842,-119.863034,,6309022.61146522,2178551.89370131
16780,28,28,BRAWLEY - WALMART,N BRAWLEY AVE & W SHAW AVE,36.810313,-119.862542,,6309172.82704405,2179239.75223373
16781,29,29,SW MARKS - SHAW, ,36.807821,-119.844618,,6314411.72043763,2178285.8965299
16782,30,30,SW HUGHES - SHIELDS, ,36.778951,-119.835619,,6316954.62676914,2167752.65217648
16783,38,38,NE MCKINLEY - PALM, ,36.765013,-119.807723,,6325081.25520089,2162608.60308139
16784,39,39,SE HUGHES - SHIELDS, ,36.778817,-119.835419,,6317012.77199405,2167703.35962415
16785,40,40,NW SHAW - MARKS, ,36.808444,-119.845027,,6314293.98609306,2178513.75499806
16786,42,42,SW WEST - BULLARD, ,36.821733,-119.826521,,6319753.00273405,2183304.53248997
16787,43,43,SW WEST - SHAW, ,36.807186,-119.826514,,6319709.47427781,2178008.61197948
16788,44,44,SW WEST - SHIELDS, ,36.778982,-119.826714,,6319562.53854805,2167741.36807831
16789,45,45,SE OLIVE - VAN NESS, ,36.757616,-119.798463,,6327771.13794447,2159893.03469364
16790,48,48,SE TULARE - CEDAR, ,36.743081,-119.754118,,6340719.59597139,2154496.5405654
16791,49,49,TULARE - PEACH, ,36.743076,-119.717889,,6351334.19678938,2154413.3734089
16792,50,50,BURGAN - BUTLER, ,36.730799,-119.677657,,6363090.13587588,2149858.25161365
16793,51,51,KINGS CANYON - CLOVIS,E KINGS CANYON RD & S PHILLIP AVE,36.735985,-119.697492,,6357291.51131831,2151787.83928989
16794,61,61,NW Nees - Blackstone, ,36.85215,-119.791532,,6330085.08640055,2194291.80382247
16795,62,62,SW Palm - Herndon, ,36.836627,-119.808473,,6325081.05539814,2188681.82357265
16796,63,63,SW Palm - Shields, ,36.77911,-119.808768,,6324818.39155339,2167743.21748406
16797,65,65,FRESNO YOSEMITE INTL - WB,N TERRY COOPER WAY & UNNAMED ALY,36.76923,-119.719794,,6350847.41856347,2163939.00068305
16798,67,67,CLINTON - WEST, ,36.772085,-119.827028,,6319448.96167547,2165231.29665489
16799,68,68,SHIELDS - BRAWLEY,W SHIELDS AVE & N BRAWLEY AVE,36.779163,-119.861827,,6309280.36226206,2167897.65779197
16800,70,70,CLINTON - WEST, ,36.771924,-119.82611,,6319717.31645373,2165170.37026756
16801,71,71,MANCHESTER TRANSIT CENTER EB 41,PRIVATE & E FEDORA AVE,36.783363,-119.79027,,6330248.24519497,2169246.43757473
16802,72,72,FRESNO YOSEMITE INTL - EB,E CLINTON WAY & UNNAMED ALY,36.76996,-119.722373,,6350094.05983397,2164210.43157065
16803,73,73,NW Butler - Chestnut, ,36.728748,-119.736883,,6345729.18109655,2149239.39556789
16804,76,76,NE Palm - Shields, ,36.780037,-119.808579,,6324876.58139764,2168080.22796489
16805,77,77,SE HERNDON - PALM,W HERNDON AVE & N INGRAM AVE,36.83684,-119.807853,,6325263.13869539,2188757.84113714
16806,79,79,SHAWCOLE W/B,SHAW AVE & RAILROAD AVE,36.808535,-119.696576,,6357751.48349547,2178198.09519631
16807,82,82,FIRST/SHAW S/B, ,36.809227,-119.772456,,6335540.50495164,2178619.91095373
16808,83,83,Manchester Transit Center, ,36.783667,-119.790286,,6330244.47059622,2169357.14831132
16809,84,84,Cedar Station, ,36.735759,-119.753707,,6340819.09380388,2151830.01341814
16810,85,85,SW Chestnut - Butler, ,36.728239,-119.736585,,6345815.08610848,2149053.42382698
16811,88,88,Cedar Station, ,36.735978,-119.754184,,6340679.95202181,2151910.83773156
16812,89,89,Manchester Transit Center, ,36.783114,-119.790387,,6330213.23771906,2169156.0703014
16813,90,90,FIRST - SHAW NB, ,36.807187,-119.772185,,6335613.86471306,2177876.59912014
16814,95,95,Herndon Station,N BLACKSTONE AVE & E MAGILL AVE,36.837122,-119.790266,,6330410.46271831,2188817.68517756
16815,96,96,Shaw Station, ,36.808012,-119.790662,,6330207.33254714,2178220.9557149
16816,106,106,FRESNO - HERNDON, ,36.836195,-119.781417,,6332997.19081256,2188459.01463506
16817,107,107,FRESNO - SHAW, ,36.807765,-119.781546,,6332875.21271005,2178109.19051848
16818,108,108,SW FRESNO - CLINTON, ,36.771889,-119.78165,,6332738.4659363,2165048.63461864
16819,111,111,MLK - JENSEN, ,36.706467,-119.799956,,6327178.68965431,2141275.92691481
16820,112,112,NW North - Elm,W NORTH AVE & E NORTH AVE,36.692351,-119.791736,,6329545.80401455,2136117.07240315
16821,114,114,MLK - JENSEN, ,36.707348,-119.79976,,6327238.81289364,2141596.17397773
16822,117,117,NW Fresno - Clinton, ,36.772622,-119.781463,,6332795.40512688,2165315.03926957
16823,118,118,FRESNO - SHAW, ,36.807594,-119.781273,,6332954.62429664,2178046.28677289
16824,119,119,FRESNO - HERNDON, ,36.83822,-119.78108,,6333101.8037923,2189195.4298289
16825,122,122,BELMONT - DELNO, ,36.750222,-119.819129,,6321694.49163322,2157252.23059206
16826,123,123,BELMONT - ABBY, ,36.750275,-119.789685,,6330320.50390872,2157199.2753174
16827,124,124,BELMONT - FIRST, ,36.750359,-119.771894,,6335532.77169938,2157187.48170581
16828,125,125,MAPLE - BELMONT, ,36.749715,-119.745494,,6343265.05774397,2156891.93308431
16829,126,126,MAPLE - KINGS CANYON - EL MONTE, ,36.735091,-119.745605,,6343191.20618564,2151568.2964219
16830,127,127,MAPLE - BUTLER, ,36.729939,-119.74544,,6343224.99581622,2149692.33134182
16831,128,128,CHURCH - MAPLE, ,36.713758,-119.745786,,6343077.86061181,2143802.42547072
16832,130,130,MAPLE - KINGS CANYON, ,36.736321,-119.745401,,6343254.45704339,2152015.61508106
16833,131,131,BELMONT - MAPLE, ,36.750573,-119.745909,,6343145.90476705,2157205.23396689
16834,132,132,BELMONT - FIRST, ,36.750558,-119.772917,,6335233.65845247,2157262.33818339
